t,scout_x,scout_y,scout_z,mship_x,mship_y,mship_z,sv_x,sv_y,sv_z,mv_x,mv_y,mv_z,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,lat_err_m,range_to_pad_m,aligned,docked,phase
1.6250,0.89773,0.82913,1.62653,0.89321,0.80136,0.59315,-0.36341,0.39977,-1.58353,-0.36061,0.40194,-1.03353,0.01966,0.01111,1.09936,0.00497,0.00520,-0.54043,0.022583,1.033761,1,0,DESCENDING
1.6667,0.88228,0.84551,1.56042,0.87803,0.81797,0.55000,-0.37078,0.39311,-1.58673,-0.36808,0.39511,-1.03673,0.01970,0.01116,1.07653,0.00467,0.00466,-0.54680,0.022643,1.010801,1,0,DESCENDING
1.7083,0.86652,0.86158,1.49444,0.86254,0.83428,0.50685,-0.37808,0.38576,-1.58353,-0.37543,0.38814,-1.03353,0.01974,0.01122,1.05357,0.00465,0.00497,-0.55320,0.022709,0.987974,1,0,DESCENDING
1.7500,0.85046,0.87735,1.42885,0.84674,0.85031,0.46396,-0.38544,0.37838,-1.57396,-0.38264,0.38103,-1.02396,0.01978,0.01127,1.03048,0.00456,0.00473,-0.55957,0.022768,0.965279,1,0,DESCENDING
1.7917,0.83410,0.89283,1.36393,0.83065,0.86604,0.42161,-0.39270,0.37149,-1.55808,-0.38972,0.37379,-1.00808,0.01981,0.01131,1.00725,0.00427,0.00459,-0.56588,0.022815,0.942717,1,0,DESCENDING
1.8333,0.81747,0.90800,1.29994,0.81427,0.88146,0.38004,-0.39922,0.36426,-1.53598,-0.39666,0.36642,-0.98598,0.01983,0.01137,0.98389,0.00395,0.00506,-0.57210,0.022861,0.920283,1,0,DESCENDING
1.8750,0.80055,0.92287,1.23711,0.79760,0.89657,0.33952,-0.40592,0.35687,-1.50781,-0.40346,0.35892,-0.95781,0.01987,0.01143,0.96041,0.00423,0.00534,-0.57818,0.022924,0.897976,1,0,DESCENDING
1.9167,0.78336,0.93742,1.17570,0.78065,0.91137,0.30031,-0.41267,0.34910,-1.47373,-0.41011,0.35129,-0.92373,0.01991,0.01151,0.93680,0.00420,0.00558,-0.58408,0.022993,0.875791,1,0,DESCENDING
1.9583,0.76588,0.95164,1.11596,0.76342,0.92584,0.26263,-0.41948,0.34120,-1.43395,-0.41663,0.34354,-0.88395,0.01994,0.01158,0.91308,0.00396,0.00556,-0.58978,0.023053,0.853724,1,0,DESCENDING
2.0000,0.74817,0.96553,1.05809,0.74593,0.93999,0.22672,-0.42520,0.33349,-1.38873,-0.42300,0.33567,-0.83873,0.01995,0.01164,0.88924,0.00352,0.00553,-0.59523,0.023099,0.831770,1,0,DESCENDING
2.0417,0.73018,0.97908,1.00233,0.72818,0.95381,0.19280,-0.43159,0.32522,-1.33833,-0.42922,0.32768,-0.78833,0.01999,0.01172,0.86529,0.00402,0.00581,-0.60040,0.023170,0.809922,1,0,DESCENDING
